Rank,Fragile States Index 2014,Stability Index,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Population,Land Area
7,Afghanistan,Alert,9,9,9,8,7,8,9,9,8,10,9,10,6,4
123,Albania,Warning,4,3,5,7,4,5,6,5,5,5,6,6,4,3
71,Algeria,Warning,6,7,8,5,6,6,7,6,7,7,7,6,6,5
43,Angola,Warning,9,7,7,6,9,5,8,9,7,6,7,6,6,5
127,Antigua & Barbuda,Stable,5,3,4,8,5,4,6,4,5,5,4,6,1,1
144,Argentina,Stable,4,2,5,3,6,4,4,4,4,3,3,4,6,5
104,Armenia,Warning,5,7,6,6,5,6,7,4,7,6,7,6,4,3
169,Australia,Sustainable,3,2,4,1,3,2,1,2,2,2,2,1,6,6
167,Austria,Sustainable,3,2,5,2,4,2,2,2,2,1,3,2,5,4
76,Azerbaijan,Warning,5,8,7,5,6,4,8,5,8,7,8,7,5,4
134,Bahamas,Stable,6,3,4,5,5,5,5,5,3,4,4,4,1,1
120,Bahrain,Warning,5,3,8,3,5,3,8,2,8,6,7,6,3,2
29,Bangladesh,Alert,8,7,9,7,7,7,8,8,8,8,9,6,7,4
138,Barbados,Stable,4,3,4,6,5,6,3,3,3,4,4,5,2,1
90,Belarus,Warning,5,4,7,4,5,6,9,5,8,6,8,7,5,4
164,Belgium,Stable,3,2,4,2,3,4,2,2,1,2,4,2,6,3
114,Belize,Warning,6,5,4,7,6,6,6,6,4,5,4,7,2,3
74,Benin,Warning,8,6,4,6,7,7,6,9,5,6,6,8,6,4
64,Bhutan,Warning,6,7,8,7,7,6,5,7,7,5,7,8,3,3
70,Bolivia,Warning,7,4,7,6,9,6,7,7,6,6,8,6,6,5
86,Bosnia,Warning,4,7,7,6,6,5,7,4,6,6,9,8,1,1
121,Botswana,Warning,8,5,5,5,8,6,4,6,5,3,3,5,4,4
125,Brazil,Warning,7,4,6,4,8,4,5,6,6,6,5,3,7,6
123,Brunei,Warning,4,3,6,5,8,3,7,2,7,6,7,4,1,1
133,Bulgaria,Stable,4,3,5,5,5,5,5,4,4,4,5,5,5,4
39,Burkina Faso,Warning,9,8,5,7,8,7,8,9,6,7,7,8,6,4
21,Burundi,Alert,9,9,8,6,7,9,8,9,8,7,8,8,6,3
40,Cambodia,Warning,7,6,7,7,7,6,8,8,8,6,9,8,6,4
27,Cameroon,Alert,8,8,8,7,7,6,8,8,8,8,9,6,6,4
168,Canada,Sustainable,3,2,3,2,3,2,1,2,2,2,2,1,6,6
93,Cape Verde,Warning,7,4,4,9,7,6,6,7,5,6,5,8,1,1
3,Central African Republic,Alert,9,10,9,7,9,8,9,10,9,10,10,10,4,4
6,Chad,Alert,10,10,8,8,9,8,9,10,9,9,10,8,6,5
153,Chile,Stable,5,3,4,3,5,4,3,4,4,3,2,3,6,4
68,China,Warning,8,6,9,5,8,4,8,6,9,6,7,3,7,6
59,Colombia,Warning,6,8,8,7,8,4,7,6,7,7,8,7,6,5
54,Comoros,Warning,7,5,5,7,7,8,7,8,7,7,7,8,3,2
4,Congo (D. R.),Alert,9,10,10,7,8,8,9,9,10,9,9,10,1,1
37,Congo (Republic),Warning,8,8,6,6,8,7,8,9,8,6,7,8,1,1
140,Costa Rica,Stable,5,4,4,3,6,5,3,5,2,3,4,5,4,4
14,Cote d'Ivoire,Alert,8,9,9,7,8,7,9,9,9,9,9,9,6,4
136,Croatia,Stable,3,5,6,5,4,5,4,3,4,4,4,5,4,4
107,Cuba,Warning,6,5,5,6,6,5,7,5,7,6,7,6,6,4
112,Cyprus,Warning,4,4,7,5,7,6,6,3,4,5,8,9,3,2
154,Czech Republic,Stable,2,2,4,3,3,5,4,3,2,2,4,3,6,4
176,Denmark,Sustainable,3,1,3,2,2,2,1,2,2,2,1,2,5,3
45,Dijbouti,Warning,8,7,6,5,7,7,8,8,7,7,8,8,3,3
95,Dominican Republic,Warning,6,6,6,8,7,5,6,6,6,5,6,6,6,3
79,Ecuador,Warning,6,6,7,6,7,6,7,7,5,6,8,6,6,4
31,Egypt,Alert,7,6,9,5,7,8,9,6,10,8,9,7,1,1
100,El Salvador,Warning,7,6,6,7,7,6,6,6,6,6,4,5,5,3
52,Equatorial Guinea,Warning,8,4,7,6,9,4,10,7,9,7,8,6,3,3
23,Eritrea,Alert,8,7,6,7,7,8,9,8,9,8,8,8,5,4
147,Estonia,Stable,4,3,6,4,4,4,3,3,2,3,5,3,3,3
19,Ethiopia,Alert,9,9,9,7,7,7,7,9,8,8,9,8,7,5
68,Fiji,Warning,5,4,7,7,7,7,8,5,7,7,8,7,3,3
178,Finland,Sustainable,2,1,1,2,1,3,1,1,1,1,1,1,5,4
160,France,Stable,3,2,6,2,4,4,2,2,2,3,2,2,7,4
99,Gabon,Warning,7,5,4,5,7,5,8,7,7,5,7,5,3,4
59,Gambia,Warning,8,7,4,7,7,7,7,8,8,5,7,7,1,1
63,Georgia,Warning,5,7,8,5,6,6,9,5,6,8,9,8,4,4
165,Germany,Stable,3,3,4,2,4,3,1,2,2,2,2,2,7,4
108,Ghana,Warning,7,6,5,7,7,6,5,8,5,4,5,6,6,4
137,Greece,Stable,3,2,5,4,4,6,6,4,4,4,3,6,6,4
118,Grenada,Warning,5,3,4,8,6,6,6,4,4,5,6,7,2,1
66,Guatemala,Warning,7,6,8,7,8,6,6,7,7,7,6,6,6,4
12,Guinea,Alert,8,8,8,7,8,9,10,9,8,9,10,7,6,4
16,Guinea Bissau,Alert,8,8,6,8,8,8,9,9,7,9,10,9,1,1
106,Guyana,Warning,6,4,6,9,6,7,6,6,4,5,5,6,3,4
9,Haiti,Alert,9,8,7,9,9,9,9,9,7,7,9,10,6,3
75,Honduras,Warning,7,4,6,6,8,7,7,7,6,6,7,7,5,4
141,Hungary,Stable,3,3,4,4,5,6,6,3,4,3,5,4,5,4
171,Iceland,Sustainable,2,2,1,3,2,4,1,2,1,1,2,5,2,4
81,India,Warning,8,5,8,5,8,6,5,7,6,8,7,5,7,5
82,Indonesia,Warning,7,6,8,6,7,5,6,6,6,6,7,6,7,5
44,Iran,Warning,5,7,9,6,6,6,9,5,9,8,9,7,1,1
13,Iraq,Alert,8,8,10,8,8,7,9,8,9,10,10,8,6,4
170,Ireland,Sustainable,2,1,2,3,3,4,2,2,1,2,1,2,4,4
67,Israel/West Bank,Warning,6,7,10,3,7,4,7,6,7,7,8,7,1,1
148,Italy,Stable,4,3,5,2,3,5,4,3,3,5,5,2,7,4
119,Jamaica,Warning,5,3,4,7,6,7,6,6,5,6,4,6,4,3
157,Japan,Stable,5,3,4,2,2,4,2,2,3,2,3,4,7,4
83,Jordan,Warning,7,8,7,4,6,7,6,5,7,5,7,6,5,4
111,Kazakhstan,Warning,5,4,6,4,5,6,8,5,7,6,8,5,6,5
18,Kenya,Alert,9,8,9,8,8,8,8,8,7,8,9,8,6,4
127,Kuwait,Stable,5,4,5,3,5,3,7,3,7,4,8,4,4,3
58,Kyrgyzstan,Warning,6,5,8,6,7,7,8,6,7,7,8,8,5,4
56,Laos,Warning,7,6,6,7,7,6,9,7,8,6,8,7,1,1
142,Latvia,Stable,4,3,6,4,5,4,4,4,3,3,4,3,3,4
46,Lebanon,Warning,6,9,9,6,6,6,7,6,7,9,9,8,4,3
72,Lesotho,Warning,8,5,5,7,7,8,6,8,5,5,7,7,4,3
24,Liberia,Alert,8,9,6,7,8,8,7,9,6,7,8,10,4,4
41,Libya,Warning,6,6,7,5,6,6,8,7,9,9,8,9,5,5
149,Lithuania,Stable,4,3,4,4,5,5,3,4,3,3,3,3,4,4
172,Luxembourg,Sustainable,2,2,3,2,2,2,2,2,1,2,3,2,3,2
116,Macedonia,Warning,4,5,7,6,6,6,6,4,4,6,7,6,1,1
59,Madagascar,Warning,8,4,5,6,8,8,7,9,6,7,8,8,6,4
38,Malawi,Warning,9,6,6,8,8,8,8,8,6,5,8,8,6,4
117,Malaysia,Warning,5,4,6,5,6,4,7,5,7,6,7,4,6,4
88,Maldives,Warning,6,5,5,6,4,7,8,6,7,6,8,7,2,1
36,Mali,Warning,9,7,7,8,7,8,6,9,7,8,5,8,6,5
151,Malta,Stable,3,5,4,4,3,4,4,3,4,4,2,4,2,1
28,Mauritania,Alert,8,9,7,6,7,8,7,9,8,8,8,8,4,5
145,Mauritius,Stable,4,2,3,4,5,4,4,4,4,3,3,5,3,2
105,Mexico,Warning,7,4,6,6,7,5,6,6,6,8,5,6,7,5
91,Micronesia,Warning,7,3,4,9,8,8,6,6,3,5,6,8,1,1
89,Moldova,Warning,6,5,6,7,6,7,7,5,6,7,8,7,4,3
129,Mongolia,Stable,6,2,4,3,6,5,5,6,5,4,5,6,4,5
131,Montenegro,Stable,4,5,7,3,3,5,4,4,4,4,6,6,3,3
92,Morocco,Warning,6,6,7,7,7,6,7,6,6,6,7,5,6,4
50,Mozambique,Warning,9,5,5,7,8,8,7,9,6,7,7,7,6,4
24,Myanmar,Alert,7,8,9,5,8,7,9,8,8,8,9,7,7,4
103,Namibia,Warning,7,6,6,7,8,7,4,7,5,5,3,7,4,4
31,Nepal,Alert,8,8,9,6,8,7,8,7,8,7,8,7,6,4
166,Netherlands,Sustainable,3,2,4,2,2,4,1,2,1,2,3,2,6,3
173,New Zealand,Sustainable,2,1,4,2,3,4,0,2,1,1,1,1,4,4
73,Nicaragua,Warning,6,5,6,8,8,6,8,7,5,5,7,8,5,4
19,Niger,Alert,9,8,7,7,8,8,8,9,7,8,9,9,6,5
17,Nigeria,Alert,8,7,10,7,9,7,9,9,9,9,9,6,7,4
26,North Korea,Alert,7,5,7,4,8,9,10,9,10,8,8,8,1,1
175,Norway,Sustainable,2,2,4,2,2,2,0,2,2,3,1,1,5,4
135,Oman,Stable,5,2,3,2,4,5,6,4,7,5,7,2,4,4
10,Pakistan,Alert,9,9,10,7,8,7,8,8,9,10,9,9,7,4
131,Panama,Stable,6,4,5,4,8,4,5,5,5,5,2,3,4,4
57,Papua New Guinea,Warning,8,5,7,7,9,7,7,9,6,6,7,6,5,4
102,Paraguay,Warning,6,3,6,5,9,5,7,6,6,6,8,4,5,4
97,Peru,Warning,6,5,7,6,7,4,7,7,5,7,7,4,6,5
52,Philippines,Warning,8,8,8,6,6,6,7,7,6,9,8,6,7,4
152,Poland,Stable,4,3,4,5,4,4,3,3,3,3,4,3,6,4
162,Portugal,Stable,3,2,2,2,3,5,2,3,3,2,2,3,6,4
139,Qatar,Stable,5,2,5,3,5,3,6,2,6,3,5,4,4,3
130,Romania,Stable,4,3,7,4,5,6,6,5,4,4,5,4,6,4
85,Russia,Warning,5,5,8,5,7,4,8,5,9,9,8,4,1,1
34,Rwanda,Alert,8,8,8,7,8,7,6,7,8,6,8,8,6,3
110,Samoa,Warning,6,2,5,9,6,6,6,5,5,5,5,8,2,2
87,Sao Tome,Warning,7,5,5,8,7,8,7,6,4,6,6,8,1,1
96,Saudi Arabia,Warning,6,5,8,3,6,4,8,4,9,7,8,5,6,5
62,Senegal,Warning,8,7,7,7,7,7,6,8,6,6,7,6,6,4
100,Serbia,Warning,4,6,8,5,6,6,6,4,5,6,8,7,5,4
122,Seychelles,Warning,5,3,5,5,6,5,6,3,5,6,6,7,1,1
35,Sierra Leone,Warning,9,8,6,8,8,8,7,9,6,5,8,7,5,4
158,Singapore,Stable,3,1,3,4,4,3,3,2,5,2,4,2,5,2
146,Slovakia,Stable,3,2,6,4,4,5,4,3,3,3,4,4,1,1
163,Slovenia,Stable,2,2,4,3,4,4,3,2,2,2,2,2,4,3
47,Solomon Islands,Warning,8,5,7,6,9,7,7,8,6,7,8,8,3,3
2,Somalia,Alert,9,10,9,9,9,9,9,10,10,9,10,9,6,4
115,South Africa,Warning,7,6,6,5,8,6,5,6,4,5,6,3,7,5
156,South Korea,Stable,3,2,3,4,3,2,3,2,3,2,4,6,1,1
1,South Sudan,Alert,9,10,10,7,9,9,10,10,10,10,10,10,6,4
150,Spain,Stable,3,2,6,3,4,5,3,3,2,4,6,2,6,4
30,Sri Lanka,Alert,6,8,9,8,7,6,8,5,9,8,9,7,6,4
5,Sudan,Alert,9,10,10,9,8,8,9,9,9,10,10,10,6,5
109,Suriname,Warning,6,3,6,7,7,7,6,5,5,6,6,6,3,4
51,Swaziland,Warning,9,5,4,7,8,9,9,8,8,6,7,8,3,3
177,Sweden,Sustainable,3,3,1,2,2,2,1,2,1,2,2,1,5,4
174,Switzerland,Sustainable,2,2,3,2,2,2,1,2,2,2,1,2,5,3
15,Syria,Alert,6,10,10,7,7,7,10,7,10,10,10,9,1,1
55,Tajikistan,Warning,7,5,7,6,6,8,9,6,8,7,8,7,5,4
65,Tanzania,Warning,9,7,6,7,7,7,6,9,6,5,6,8,7,4
80,Thailand,Warning,8,6,8,4,6,4,7,5,7,8,9,5,7,4
31,Timor-Leste,Alert,9,7,7,7,6,8,8,8,6,8,8,9,3,3
41,Togo,Warning,8,7,5,7,8,7,8,8,7,7,8,7,5,4
126,Trinidad,Warning,5,3,4,8,6,5,5,5,5,5,6,4,1,1
78,Tunisia,Warning,5,4,8,5,6,6,8,5,8,7,8,7,6,4
93,Turkey,Warning,5,7,9,4,6,5,6,5,6,7,7,5,7,4
74,Turkmenistan,Warning,6,4,7,5,7,5,10,6,8,7,8,5,5,4
22,Uganda,Alert,9,9,8,7,8,7,8,8,8,8,9,8,6,4
113,Ukraine,Warning,4,3,6,5,5,5,8,4,6,5,8,6,6,4
143,United Arab Emirates,Stable,4,2,4,3,4,3,7,3,6,3,4,3,5,4
161,United Kingdom,Stable,3,3,5,2,3,4,2,2,2,3,3,1,7,4
159,United States,Stable,3,2,4,1,4,3,2,2,3,3,4,1,7,6
155,Uruguay,Stable,4,2,3,4,4,3,2,4,2,3,3,3,4,4
48,Uzbekistan,Warning,6,6,7,7,7,7,9,5,9,8,9,5,6,4
83,Venezuela,Warning,5,5,7,5,7,5,8,7,8,6,8,5,1,1
98,Vietnam,Warning,6,5,6,5,6,6,8,5,8,5,7,5,7,4
8,Yemen,Alert,9,9,9,7,8,9,9,8,9,9,9,8,1,1
49,Zambia,Warning,9,7,6,8,8,8,8,8,7,5,6,7,6,4
11,Zimbabwe,Alert,9,8,8,8,8,8,9,9,9,8,10,8,6,4
